timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733359416954,589,GET Request,200,,Teste de Carga e Desempenho 1-168,text,true,,1089677,124,756,756,http://localhost:8080/usuarios,580,0,1
1733359416965,579,POST Request,200,,Teste de Carga e Desempenho 1-24,text,true,,226,296,756,756,http://localhost:8080/usuarios,579,0,0
1733359416951,594,GET Request,200,,Teste de Carga e Desempenho 1-166,text,true,,1089623,124,756,756,http://localhost:8080/usuarios,584,0,1
1733359416956,590,GET Request,200,,Teste de Carga e Desempenho 1-170,text,true,,1089677,124,758,758,http://localhost:8080/usuarios,581,0,0
1733359416954,593,GET Request,200,,Teste de Carga e Desempenho 1-169,text,true,,1089677,124,759,759,http://localhost:8080/usuarios,582,0,1
1733359416959,590,GET Request,200,,Teste de Carga e Desempenho 1-172,text,true,,1089731,124,762,762,http://localhost:8080/usuarios,581,0,0
1733359416959,609,GET Request,200,,Teste de Carga e Desempenho 1-173,text,true,,1089731,124,773,773,http://localhost:8080/usuarios,594,0,1
1733359416958,610,GET Request,200,,Teste de Carga e Desempenho 1-171,text,true,,1089731,124,776,776,http://localhost:8080/usuarios,596,0,1
1733359416961,608,GET Request,200,,Teste de Carga e Desempenho 1-174,text,true,,1089785,124,780,780,http://localhost:8080/usuarios,594,0,1
1733359416970,608,PUT Request,200,,Teste de Carga e Desempenho 1-2,text,true,,225,263,789,789,http://localhost:8080/usuarios/1,608,0,0
1733359416962,617,GET Request,200,,Teste de Carga e Desempenho 1-177,text,true,,1089785,124,790,790,http://localhost:8080/usuarios,609,0,1
1733359416961,619,GET Request,200,,Teste de Carga e Desempenho 1-176,text,true,,1089785,124,790,790,http://localhost:8080/usuarios,610,0,1
1733359416961,640,GET Request,200,,Teste de Carga e Desempenho 1-175,text,true,,1089785,124,811,811,http://localhost:8080/usuarios,612,0,1
1733359416975,630,POST Request,200,,Teste de Carga e Desempenho 1-28,text,true,,226,296,815,815,http://localhost:8080/usuarios,630,0,0
1733359416977,628,POST Request,200,,Teste de Carga e Desempenho 1-26,text,true,,226,296,815,815,http://localhost:8080/usuarios,628,0,0
1733359416964,643,GET Request,200,,Teste de Carga e Desempenho 1-178,text,true,,1089785,124,817,817,http://localhost:8080/usuarios,613,0,0
1733359416965,642,GET Request,200,,Teste de Carga e Desempenho 1-179,text,true,,1089785,124,818,818,http://localhost:8080/usuarios,610,0,1
1733359416967,642,GET Request,200,,Teste de Carga e Desempenho 1-182,text,true,,1089839,124,818,818,http://localhost:8080/usuarios,614,0,1
1733359416966,643,GET Request,200,,Teste de Carga e Desempenho 1-180,text,true,,1089839,124,818,818,http://localhost:8080/usuarios,613,0,1
1733359416969,656,GET Request,200,,Teste de Carga e Desempenho 1-184,text,true,,1089839,124,835,835,http://localhost:8080/usuarios,645,0,1
1733359416967,661,GET Request,200,,Teste de Carga e Desempenho 1-181,text,true,,1089839,124,839,839,http://localhost:8080/usuarios,650,0,1
1733359416968,662,GET Request,200,,Teste de Carga e Desempenho 1-183,text,true,,1089839,124,839,839,http://localhost:8080/usuarios,648,0,1
1733359416973,664,GET Request,200,,Teste de Carga e Desempenho 1-186,text,true,,1089839,124,847,847,http://localhost:8080/usuarios,652,0,0
1733359416981,657,POST Request,200,,Teste de Carga e Desempenho 1-31,text,true,,226,296,847,847,http://localhost:8080/usuarios,657,0,0
1733359416984,655,PUT Request,200,,Teste de Carga e Desempenho 1-3,text,true,,225,263,850,850,http://localhost:8080/usuarios/1,655,0,0
1733359417130,509,POST Request,200,,Teste de Carga e Desempenho 1-65,text,true,,226,296,849,849,http://localhost:8080/usuarios,509,0,0
